Date,MH_Onion,WB_Potato,WB_Onion,Kolkata_Diesel
08-06-2025,1270.31,1355.86,1665.41,92.02
09-06-2025,1407.8,1352.71,1684.69,92.02
10-06-2025,1422.35,1346.25,1679.51,92.02
11-06-2025,1460.73,1346.88,1679.42,92.02
12-06-2025,1435,1358.07,1744.48,92.02
13-06-2025,1423.31,1382.29,1752.75,92.02
14-06-2025,1431.03,1338.3,1767.55,92.02
15-06-2025,1347.63,1327.09,1742.22,92.02
16-06-2025,1396.85,1339.68,1821.87,92.02
17-06-2025,1387.29,1441.81,1819.44,92.02
18-06-2025,1402.39,1329.19,1920.03,92.02
19-06-2025,1379.63,1340.31,1847.58,92.02
20-06-2025,1410.12,1340.7,1841.82,92.02
21-06-2025,1375.36,1352.06,1880.38,92.02
22-06-2025,1476.73,1351.17,1865.62,92.02
23-06-2025,1423.64,1341.56,1956.7,92.02
24-06-2025,1411.59,1312.77,1921.84,92.02
25-06-2025,1387.66,1316.69,1812.22,92.02
26-06-2025,1371.35,1367.17,1920.37,92.02
27-06-2025,1370.67,1354.07,1943.74,92.02
28-06-2025,1370.73,1312.23,1887.17,92.02
29-06-2025,1423.14,1370.61,1886.96,92.02
30-06-2025,1380.4,1328.77,1954.53,92.02
01-07-2025,1362.93,1324.5,1978.48,92.02
02-07-2025,1342.21,1300.67,1992.12,92.02
03-07-2025,1318.82,1310.94,1993.53,92.02
04-07-2025,1314.07,1358.31,1946.53,92.02
05-07-2025,1311.5,1305.69,2013.86,92.02
06-07-2025,1435.14,1357.13,2037.46,92.02
07-07-2025,1305.86,1312.26,2048.01,92.02
08-07-2025,1333.66,1350.7,1958.58,92.02
09-07-2025,1305.42,1309.1,2009.9,92.02
10-07-2025,1281.02,1300.97,1990.97,92.02
11-07-2025,1291.25,1299.46,2035.55,92.02
12-07-2025,1212.21,1318.54,1992.57,92.02
13-07-2025,1311.51,1292.24,2015.84,92.02
14-07-2025,1444.27,1266.85,1978.85,92.02
15-07-2025,1266.88,1319.12,2022.64,92.02
16-07-2025,1265.84,1268.68,2030.72,92.02
17-07-2025,1261.91,1387.93,2012.49,92.02
18-07-2025,1241.2,1300.81,1968.29,92.02
19-07-2025,1176.3,1225.65,1992.93,92.02
20-07-2025,1167.76,1248.43,2050.3,92.02
21-07-2025,1216.48,1261.15,1955.8,92.02
22-07-2025,1243.08,1257.34,1992.1,92.02
23-07-2025,1222.88,1230.38,1988.08,92.02
24-07-2025,1160.06,1238.98,1913.97,92.02
25-07-2025,1183.2,1270.15,2015.98,92.02
26-07-2025,1151.59,1219.76,1976.02,92.02
27-07-2025,1268.73,1228.4,1933.1,92.02
28-07-2025,1194.63,1200.11,1923.42,92.02
29-07-2025,1163.12,1189.7,1896.29,92.02
30-07-2025,1209.81,1178.47,1896.01,92.02
31-07-2025,1155.43,1178.69,1869.24,92.02
01-08-2025,1163.77,1201.71,1916.95,92.02
02-08-2025,1185.07,1192.51,1849.28,92.02
03-08-2025,1183.91,1197.96,1853.65,92.02
04-08-2025,1138.33,1210.83,1857.35,92.02
05-08-2025,1166.98,1210.91,1901.47,92.02
06-08-2025,1155.01,1210.45,1909.55,92.02
07-08-2025,1169.62,1206.85,1909.05,92.02
08-08-2025,1206.17,1210.14,1904.86,92.02
09-08-2025,956.98,1205.04,1926.66,92.02
10-08-2025,1218.64,1231.49,1905.37,92.02
11-08-2025,1179.06,1205.48,1905.89,92.02
12-08-2025,1310.65,1245.87,1888.35,92.02
13-08-2025,1423.8,1266.24,1893.61,92.02
14-08-2025,1435.93,1241.97,1971.33,92.02
15-08-2025,1642.66,1246.54,1934.47,92.02
16-08-2025,1331.22,1269.87,2012.97,92.02
17-08-2025,1341.63,1266.2,1979.1,92.02
18-08-2025,1338.09,1271.4,2107.27,92.02
19-08-2025,1409.7,1246.18,2125.46,92.02
20-08-2025,1380.35,1250.89,2113.51,92.02
21-08-2025,1311.15,1240.22,2116.92,92.02
22-08-2025,1249.33,1236.45,2107,92.02
23-08-2025,1241.28,1243.3,2119.74,92.02
24-08-2025,1202.24,1258.14,2133.59,92.02
25-08-2025,1232.67,1230.56,2130.56,92.02
26-08-2025,1170.98,1232.11,2108.62,92.02
27-08-2025,1154.97,1242.1,2130.08,92.02
28-08-2025,1198.9,1241.78,2066.9,92.02
29-08-2025,1161.08,1230.86,2049.49,92.02
30-08-2025,1202.66,1246.78,2063.25,92.02
31-08-2025,1149.25,1252.51,2069.92,92.02
01-09-2025,1152.36,1244.21,1968.79,92.02
02-09-2025,1204.73,1254.27,1919.84,92.02
03-09-2025,1184.32,1235.64,1905.67,92.02
04-09-2025,1183.24,1270.45,1913.03,92.02
05-09-2025,1172.82,1251.56,1902.69,92.02
06-09-2025,1041.65,1260.08,1896.86,92.02
07-09-2025,1332.58,1259.47,1885.11,92.02
08-09-2025,1158.04,1259.16,1868.53,92.02
09-09-2025,1137.2,1243.49,1893.33,92.02
10-09-2025,1072.01,1252.48,1855.43,92.02
11-09-2025,1044.05,1254.9,1841.71,92.02
12-09-2025,1006.08,1261.34,1835.63,92.02
13-09-2025,960.03,1264.71,1828.12,92.02
14-09-2025,2239.81,1268.09,1814.78,92.02
15-09-2025,1020.71,1241.51,1816.8,92.02
16-09-2025,1120.96,1275.7,1842.71,92.02
