All Type of Report (All Grades) for 01-Apr-2024 to 31-Mar-2026,,,,,,,,,,
State,Commodity Group,Commodity,Date,MSP,Arrival Quantity 01-04-2024 to 31-03-2026,Arrival Unit,Min Price 01-04-2024 to 31-03-2026,Modal Price,Max Price 01-04-2024 to 31-03-2026,Price Unit
Maharashtra,Vegetables,Potato,04-07-2024,-,"1,848.30",Metric Tonnes,"2,153.92","2,540.63","2,950.41",Rs./Quintal
Maharashtra,Vegetables,Onion,05-07-2024,-,"20,353.62",Metric Tonnes,949.47,"2,568.35","3,251.57",Rs./Quintal
Maharashtra,Vegetables,Potato,05-07-2024,-,"2,231.30",Metric Tonnes,"2,261.49","2,604.22","2,975.29",Rs./Quintal
Maharashtra,Vegetables,Onion,06-07-2024,-,"21,802.06",Metric Tonnes,"1,066.38","2,621.72","3,138.01",Rs./Quintal
Maharashtra,Vegetables,Potato,06-07-2024,-,"2,400.80",Metric Tonnes,"2,149.67","2,552.18","2,945.72",Rs./Quintal
Maharashtra,Vegetables,Onion,07-07-2024,-,"7,887.30",Metric Tonnes,"1,195.27","2,452.53","3,205.46",Rs./Quintal
Maharashtra,Vegetables,Potato,07-07-2024,-,565.8,Metric Tonnes,"2,389.64","2,708.92","3,027.24",Rs./Quintal
Maharashtra,Vegetables,Onion,08-07-2024,-,"28,106.24",Metric Tonnes,"1,090.94","2,636.38","3,120.05",Rs./Quintal
Maharashtra,Vegetables,Potato,08-07-2024,-,"3,348.90",Metric Tonnes,"2,100.63","2,557.78","2,968.22",Rs./Quintal
Maharashtra,Vegetables,Onion,09-07-2024,-,"16,465.09",Metric Tonnes,"1,168.56","2,562.31","3,160.13",Rs./Quintal
